GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Puristin,LempelZivWelchEngine,EncodingTable,43,66,4,2,6,17,4,6,2,5
Puristin,LempelZivWelchEngine,DecodingTable,1,61,1,3,0,16,1,6,0,5
Puristin,LempelZivWelchEngine,LZWDecoder,6,85,1,3,1,16,1,3,0,2
Puristin,LempelZivWelchEngine,LZWCoder,3,82,0,4,1,14,1,4,1,2
Puristin,HuffmanEngine,HuffmanDecoder,0,54,0,4,0,13,0,5,0,3
Puristin,HuffmanEngine,HuffmanCoder,3,77,2,8,1,16,3,6,1,3
Puristin,HuffmanEngine,CodingTree,3,25,1,3,1,8,2,2,1,1
Puristin,HuffmanEngine,CodingUnit,0,129,0,0,0,31,0,14,0,14
Puristin,HuffmanEngine,Frequencies,6,57,0,2,2,13,1,5,1,4
Puristin,HuffmanEngine,CodingAlphabet,0,164,0,12,0,35,0,12,0,6
Puristin,HuffmanEngine,HuffmanRunner,67,0,2,0,15,0,4,0,3,0
Puristin,HuffmanEngine,FeederQueue,0,75,0,6,0,17,0,10,0,7
Puristin,io,BinaryFileManager,15,44,0,0,7,11,1,2,1,2
Puristin,io,TextFileManager,3,69,2,2,1,21,3,2,1,2
Puristin,io,ByteBuffer,21,0,0,0,9,0,4,0,4,0
Puristin,main,Main,136,0,7,0,41,0,8,0,3,0
Puristin,CustomDataStructures,BitSequence,14,219,3,21,3,45,3,20,1,10
Puristin,CustomDataStructures,MinHeap,50,174,4,14,6,31,3,11,0,5
Puristin,CustomDataStructures,StringHasher,5,41,0,2,3,11,3,3,3,2
Puristin,CustomDataStructures,SlidingFifoQueue,0,55,0,4,0,12,0,6,0,4
